"","x","1N01T","1N02T","1N03T","1N04T","1N05T","1N06T","1N07T","1N08T","1N09T","1N10T","1N11T","1N12T","1N13T","1N14T","1S01T","1S02T","1S03T","1S04T","1S05T","1S06T","1S07T","1S08T","1S09T","2N01T","2N02T","2N03T","2N04T","2N05T","2N06T","2N07T","2N08T","2N09T","2N10T","2N11T","2N12T","2N13T","2N14T","2S01T","2S03T","2S04T","2S05T","2S06T","2S07T","2S08T","2S09T","3N01T","3N02T","3N03T","3S01T","3S02T","3S03T","3S04T"
"216",216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"033451",,,,,,,,,
"217",217,,,,,,,,,,,,,,,,,,"033565",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"218",218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"033732",,,,,,,,,
"219",219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"034079",,,,,,,,,,,,,,
"220",220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"034356",,,,,,,,,
"221",221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"035346",,,,,,,,,,,,,,
"222",222,,,,,,,,,,,,,,,,,"035741",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"223",223,,,,,,,,,,,,,,,"035909",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"224",224,,,,,,,,,,,,,,,"036047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"225",225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"036195",,,,,,,,,,,,,,
"226",226,,,,,,,,,,,"036230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"227",227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"036279",,,
"228",228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"036375",,,,,,,,,,,,,,
"229",229,,,,,,,,,,,,,,,,,,,,"037380",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"230",230,,,,,,,,,,,,,,,,,,,,"038002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"231",231,,,,,,,,,,,,,,,,,,,,,,,,"038016",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"232",232,,,,,,,,,,,,,,,"038116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"233",233,,,,,,,,,,,,,,"038347",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"234",234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"039172",,,
"235",235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"039471",,,,,,,,,,,,,,,,,,,
"236",236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"039471",,,,,,,,,,,,,,,,,,
"237",237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"039471",,,,,,,,,,,,,,,,,
"238",238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"039471",,,,,,,,,,,,,,,,
"239",239,,,,,,,,,,,,,,,,,"039526",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"240",240,,,,,,,,,,,,,"039544",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"241",241,,,"039544",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"242",242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"039544",,,,,,,,,,,,,,,,
"243",243,,,,,,,,,,,,,,,,,,,,,,,,,,"039544",,,,,,,,,,,,,,,,,,,,,,,,,,
"244",244,,,,,,,,,,,,,,,,,"039649",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"245",245,,,,,,,,,,,,,,,,,"039792",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"246",246,,,,,,,,,,,,,,,,,,"040359",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"247",247,,,,,,,,,,,,,,,,"040456",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"248",248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"040578",,,
"249",249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"040587",,,,,,,,,,,,,,
"250",250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"040602",,,,,,,,,,,,,,
"251",251,,,,,,,,,,,,,,,"040612",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"252",252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"040737",,,,,,,,,,,,,,
"253",253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"040781",,,,,,,,,,,,,
"254",254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"040899",,,,,,,,,,,,,
"255",255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"041007",,,,,,,,,,,,,
"256",256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"041182",,,
"257",257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"041363",,,,,,,,,,,,,,,,,,,,,,,
"258",258,,,,,,,,,,,,,,,,,,,,,,,,,,,,"041363",,,,,,,,,,,,,,,,,,,,,,,,
"259",259,,,,,,,,,,,,,,,,,,,,,,,,,,,"041363",,,,,,,,,,,,,,,,,,,,,,,,,
"260",260,,,,,,,,,,,,,,,,,,,,,,,,,"041363",,,,,,,,,,,,,,,,,,,,,,,,,,,
"261",261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"041364",,,,
"262",262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"041364",,,,,
"263",263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"041384",,,,,,,,,,,,,
"264",264,,,,,,,,,,,,,,,,,,,,,,,,"041400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265",265,,,,,,,,,,,,,,,,,,"042019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"266",266,,,,,,,,"042248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"267",267,,"042298",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"268",268,,,,,,,,"042306",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"269",269,,,,,,,,,,,"042349",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"270",270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"042349",,,,,,,,,,,,,,,,,,
"271",271,,,,,,,,,,,"042404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"272",272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"042404",,,,,,,,,,,,,,,,,,
"273",273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"042422",,,,,,
"274",274,,,,,,,,,,,,,,,,,,,,,,,,,"042450",,,,,,,,,,,,,,,,,,,,,,,,,,,
"275",275,,,,,,,,,,,,,,,,,"042531",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"276",276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"042565",,,,,,,,,,,,,,,,,,
"277",277,,,,,,,,,,,"042565",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"278",278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"042627",,,,,,,,,,,,,,,,
"279",279,,,,,,,,,,,,,,,,,,,,,,,"042882",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"280",280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"043297",,,,,,,,,,,,,,,,,,,,,,,
"281",281,,,,,,,,,,,,,,,,,,,,,,,,,,,,"043297",,,,,,,,,,,,,,,,,,,,,,,,
"282",282,,,,,,,,,,,,,,,,,,,,,,,,,,,"043297",,,,,,,,,,,,,,,,,,,,,,,,,
"283",283,,,,,,,,,,,,,,,,,,,,,,,,,,"043297",,,,,,,,,,,,,,,,,,,,,,,,,,
"284",284,,,,,,,,,,,,,,,,,,,,,,,,,"043297",,,,,,,,,,,,,,,,,,,,,,,,,,,
"285",285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"043298",,,,
"286",286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"043298",,,,,
"287",287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"043652",,,
"288",288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"043664"
"289",289,,,,,,,,,,,,,,,,,"043666",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"290",290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"043751"
"291",291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"043925",,,,,,,,,,,,
"292",292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"044165",,,,,,,,,,,,,,,,
"293",293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"044165",,,,,,,,,,,,,,,,,
"294",294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"044165",,,,,,,,,,,,,,,,,,
"295",295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"044165",,,,,,,,,,,,,,,,,,,
"296",296,,,,,,,,,,,,,"044165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"297",297,,,,,,,,,,,,"044165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"298",298,,,,,,,,,,,"044165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"299",299,,,,,,,,,,"044165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"300",300,,,,,,,,,"044165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"301",301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"044252",,,,,
"302",302,,,,,,"044358",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"303",303,,,,"044377",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"304",304,,,,,,,,,,,,,,,"044552",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"305",305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"044611",,,,,,,,,,,,,
"306",306,,,,,,,,,,,,,,,,,,,,,,,"044756",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"307",307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"044771",,,,,,,,,,,,,,,,,,
"308",308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"044771",,,,,,,,,,,,,,,,,,,
"309",309,,,,,,,,,,,"044771",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"310",310,,,,,,,,,,,,,,,,,,,,,,,"044789",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"311",311,,,,,,,,,,"044815",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"312",312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"045324",,,
"313",313,,,,,,,,,,,,,,,,,,,,,,,"045346",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"314",314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"045422",,,
"315",315,,,,,,,,,,,,,,,,,,,"045458",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"316",316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"045503",,,,,,,,,,,,,,
"317",317,,,,,,,,,,,"046009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"318",318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"046010",,,,,,,,,,,,,,,,,,
"319",319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"046010",,,,,,,,,,,,,,,,,,,
"320",320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"046035",,,,,,,,,,,,,,
"321",321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"046232",,,,,,,,,,,,,,,,,,,
"322",322,,,,,,,,,,,,"046232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"323",323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"046232",,,,,,,,,,,,,,,,,,
"324",324,,,,,,,,,,"046232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"325",325,,,,,,,,,,,,,,,,,,,,,,,,,"046269",,,,,,,,,,,,,,,,,,,,,,,,,,,
"326",326,,,,,,,,,,,,,,,,,,,,,,,,,,"046269",,,,,,,,,,,,,,,,,,,,,,,,,,
"327",327,,,,,,,,,,,,,,,,,,,,,,,,,,,"046269",,,,,,,,,,,,,,,,,,,,,,,,,
"328",328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"046269",,,,,,,,,,,,,,,,,,,,,,,
"329",329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"046269",,,,,,,,,,,,,,,,,,,,,,
"330",330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"046318",,,,,,,,,,,,,,,,,,,,,,,
"331",331,,,,,,,,,,,,,,,,,,,,,,,,,,,,"046318",,,,,,,,,,,,,,,,,,,,,,,,
"332",332,,,,,,,,,,,,,,,,,,,,,,,,,,,"046318",,,,,,,,,,,,,,,,,,,,,,,,,
"333",333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"046318",,,,
"334",334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"046318",,,,,
"335",335,,,,,,,,,,,,,,,,,,,,,,,,,,"046318",,,,,,,,,,,,,,,,,,,,,,,,,,
"336",336,,,,,,,,,,,,,,,,,,,,,,,,,"046318",,,,,,,,,,,,,,,,,,,,,,,,,,,
"337",337,,"046796",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"338",338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"046885",,,,,,,,,,,,,,
"339",339,,,,,,,,,,,,,,,"046992",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"340",340,,,,,,,,,,,,,,,,,,,,,,,,,"047349",,,,,,,,,,,,,,,,,,,,,,,,,,,
"341",341,,,,,,,,,,,,,,,,,,,,,,,,,,,"047349",,,,,,,,,,,,,,,,,,,,,,,,,
"342",342,,,,,,,,,,,,,,,,,,,,,,,,,,,,"047349",,,,,,,,,,,,,,,,,,,,,,,,
"343",343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"047349",,,,,,,,,,,,,,,,,,,,,,,
"344",344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"047349",,,,,
"345",345,,,,,,,,,,,,,"047627",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"346",346,,,,,,,,,,,,,,,,,,,,,,,,,,"047871",,,,,,,,,,,,,,,,,,,,,,,,,,
"347",347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"048073",,,,,
"348",348,,,,,,,,,,,,,,"048114",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"349",349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"048198",,,,,,,,,,,,,,
"350",350,,,,,,,,,,,,,,,,,,,,,,,"048536",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"351",351,,,,,,,,,,,,,,,,,,,,,,,"048588",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"352",352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"048750",,,,,,,,,,,,,,,,,,
"353",353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"049125",,,,,,,,,,,,,,,,,
"354",354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"049125",,,,,,,,,,,,,,,,,,
"355",355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"049205",,,,,,,,,,,,,,,,,
"356",356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"049461",,,,,,,,,,,,,,,,
"357",357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"049461",,,,,,,,,,,,,,,,,
"358",358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"049461",,,,,,,,,,,,,,,,,,
"359",359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"049461",,,,,,,,,,,,,,,,,,,
"360",360,,,,,,,,,,,,,"049461",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"361",361,,,,,,,,,,,,"049461",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"362",362,,,,,,,,,,,"049461",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"363",363,,,,,,,,,,"049461",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"364",364,,,,,,,,,,,,,,,,,,,,,,,"049942",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"365",365,,,,,,,,,,,,,,"050209",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"366",366,,,,,,,,,,,,,,"050387",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"367",367,,,,,,,,,,,,,,"050768",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"368",368,,,,,,,,,,,,,,,,,,,,,,,"051570",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"369",369,,,,,,,,,,,,,,,,,,,,,,,"051896",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"370",370,,,,,,,,,,,,,,,"052028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"371",371,,"052098",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"372",372,,,,,,,,,,,,,,,,"052416",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"373",373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"052552",,,,,,,,,,,,,,,,,,,,
"374",374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"052552",,,,,,,,,,,,,,,,,,
"375",375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"052552",,,,,,,,,,,,,,,,,
"376",376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"052552",,,,,,,,,,,,,,,,
"377",377,,,,,,,,,,,,,,,,,,,,"053082",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"378",378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"053167",,,,,,,,,,,,,,,,,,
"379",379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"054053",,,,,,,,,,,,,,,,,,
"380",380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"054242",,,,,,,,,,,,
"381",381,,,,,,,,,,,,,,,,,,,,"054609",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"382",382,,,,,,,,,,,,,,,,,,,,"054645",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"383",383,,"054649",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"384",384,,,,,,,,,,,,,,,,,,,,"054692",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"385",385,,,,,,,,,,,,,,,,,,,,,,,"054821",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"386",386,,,,,,,,,,,,,,,,,,,,,,,"054830",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"387",387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"055136",,,,,,,,,,,,,,,,,,
"388",388,,,,,,,,,,,,,,,,,,"055150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"389",389,,,,,,,,,,,,,,,,,,,,"055389",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"390",390,,"055423",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"391",391,,,,,,,,,,,,,,,,,,"055539",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"392",392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"055545",,,,,,,,,,,,,,,,,,
"393",393,,,,,,,,,,,,,,,,,,"055779",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"394",394,,,,,,,,,,,,,,,,,,,,"055818",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"395",395,,,,,,,,,,,,,,,,,,,,"055880",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"396",396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"055961",,,,,,,,,,,,,,
"397",397,,,,,,,,,,,,,,,,,,,,,,,"056140",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"398",398,,,,,,,,,,,,,,,,,,,,"056273",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"399",399,,,,,,,,,,,,,,,,,,"056310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"400",400,,,,,,,,,,,,,,,,,,"056352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"401",401,,,,,,,,,,,,,,,,,,,,,,,"056426",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"402",402,,,,,,,,,,,,,,"056604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"403",403,,,,,,,,,,,,,,,,,,"056646",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"404",404,,,,,,,,,,,,,,,,,,"056725",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"405",405,,"056746",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"406",406,,,,,,,,,,,,,,,,,,"057690",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"407",407,,,,,,,,,,,,,,,,,,,,,,,"058280",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"408",408,,,,,,,,,,,,,,,,,,,,,,,,,"058315",,,,,,,,,,,,,,,,,,,,,,,,,,,
"409",409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"058318",,,,,,,
"410",410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"058508",,,,,,,,
"411",411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"058814",,,,,,,,,,,,,
"412",412,,,,,,,,,,,,,,,,,,,,"058815",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"413",413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"058843",,,,,,,,
"414",414,,,,,,,,,,,,,,,,,,,"058879",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"415",415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"059013"
"416",416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"059332",,,,,,,,
"417",417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"059546",,,,,,,,
"418",418,,,,,,,,,,,,,,,,,,,,,,,,"059724",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"419",419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"061448",,,
"420",420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"061485"
"421",421,,,,,,,,,,,,,,"061492",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"422",422,,,,,,,,,,,,,,,,,,,,,,,,,,,,"061742",,,,,,,,,,,,,,,,,,,,,,,,
"423",423,,,,,,,,,,,,,,,,,,,,,,,,,,,,"061767",,,,,,,,,,,,,,,,,,,,,,,,
"424",424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"061768",,,,,,,,,,,,,,,,,,
"425",425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"062203",,,
"426",426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"062389",,,
"427",427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"062554",,,,,,,,,,,,,,,,,,,,,,,
"428",428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"062767",,,
"429",429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"062838"
"430",430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"062910"
"431",431,,,,,,,,,,,,,,,,,,,,,,,,"062962",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"432",432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"063589",,,
"433",433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"063725",,,,,,,,,,,,,,
"434",434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"063988",,,,,,,,,,,,,,
"435",435,,,,,,"064106",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"436",436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"064288",,,,,,,,,,,,,,,,,,,,,
"437",437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"064354",,,,,,,,,,,,,,
"438",438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"064388",,,,,,,,,,,,,,
"439",439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"064531",,,,,,,,,,,,,,
"440",440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"064535",,,,,,,,,,,,,,
"441",441,,,,,,,,,,,,,,,"064564",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"442",442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"064592",,,,,,,,,,,,
"443",443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"064592",,,,,,,,,,,
