"","solicitacao","localizacao","descricao","tempo_abertura","tempo_falha","tempo_encerramento","cmt","tempo_duracao","cdv"
"327",66735,"SINCDVCAJ","FALSA OCUPACAO CONSTANTE NO CDV 2N01T.",2017-10-02 17:19:00,2017-10-02 17:15:00,2017-10-03 17:40:00,"CAJ",87660s (~1.01 days),"2N01T"
"328",66958,"SINCDVREC","FALSA OCUPACAO CONSTANTE NO CDV 3S04T",2017-10-08 11:51:00,2017-10-08 11:39:00,2017-10-08 20:18:00,NA,30420s (~8.45 hours),"3S04T"
"329",68363,"SINCDVPRZ","FALSA OCUPACAO INTERMITENTE NO CDV 2N05T.",2017-11-14 13:42:00,2017-11-14 13:39:00,2017-11-14 21:54:00,"CAJ",29520s (~8.2 hours),"2N05T"
"330",68688,"SINCDVLAR","FALSA OCUPACAO INTERMITENTE NO CDV 2N11T.",2017-11-22 19:16:00,2017-11-22 19:16:00,2017-11-23 15:00:00,"CAJ",71040s (~19.73 hours),"2N11T"
"331",69322,"SINCDVRECSUL","BIPOINTE 1S03TB ACESO CONSTATIMENTE",2017-12-06 09:42:00,2017-12-06 09:20:00,2017-12-06 14:05:00,"RECS",15780s (~4.38 hours),"1S03T"
"332",69430,"SINCDVREC","FALSA OCUPACAO INTERMITENTE NO CDV 1S02T.",2017-12-08 12:13:00,2017-12-08 12:13:00,2017-12-09 14:35:00,NA,94920s (~1.1 days),"1S02T"
"333",70271,"SINCDVJOASUL","FALSA OCUPACAO INTERMITENTE NO CDV 1S04.",2017-12-31 13:30:00,2017-12-31 13:30:00,2018-01-02 14:08:00,"RECS",175080s (~2.03 days),"1S04T"
"334",70321,"SINCDVRECSUL","FALSA OCUPACAO CONSTANTE NO CDV 1S02T.OBS.: TRAVANDO O TRV 4 EM REVERSO.",2018-01-02 12:44:00,2018-01-02 12:44:00,2018-01-03 13:30:00,"RECS",89160s (~1.03 days),"1S02T"
"335",70490,"SINCDVPAZ","FALSA OCUPACAO CONSTANTE NO CDV 2S08.",2018-01-05 12:16:00,2018-01-05 12:16:00,2018-01-05 17:22:00,"RECS",18360s (~5.1 hours),"2S08T"
"336",70676,"SINCDVJOASUL","FALSA OCUPACAO INTERMITENTE NO CDV 1S04T INIBINDO O SIN 2A E AS MQC'S 8 E 10A",2018-01-11 12:24:00,2018-01-11 12:24:00,2018-03-13 11:52:00,"RECS",5268480s (~8.71 weeks),"1S04T"
