"","solicitacao","localizacao","descricao","tempo_abertura","tempo_falha","tempo_encerramento","cmt","tempo_duracao","cdv"
"54",14864,"SINCDVSHO","CODIGO 0 NO CDV 1N04T",2014-05-30 13:41:00,2014-05-30 13:36:00,2014-06-03 12:36:00,"NEV",341700s (~3.95 days),"1N04T"
"55",15115,"SINCDVLAR","FALSA OCUPACAO CDV 2N11",2014-06-04 16:07:00,2014-06-04 15:30:00,2014-06-04 21:17:00,"CAJ",18600s (~5.17 hours),"2N11T"
"56",15116,"SINCDVNEV","FALSA OCUPACAO NO CDV 1N02",2014-06-04 16:13:00,2014-06-04 15:30:00,2014-06-04 21:11:00,"NEV",17880s (~4.97 hours),"1N02T"
"57",15430,"SINCDVNEV","CODIGO 0 NO CDV'S 1N03T/1N02T",2014-06-10 17:18:00,2014-06-10 17:18:00,2014-06-10 21:20:00,"NEV",14520s (~4.03 hours),"1N03T-1N02T"
"58",16276,"SINCDVJOA","BI POINT 3S04 TRAVA TRAVESSAO 23 EM REVERSO",2014-06-30 17:23:00,2014-06-30 17:13:00,2014-07-01 13:25:00,NA,72120s (~20.03 hours),"3S04T"
"59",16404,"SINCDVREC","ATUACAO INDEVIDA DO BIPOINT 3S04",2014-07-03 17:11:00,2014-07-03 17:00:00,2014-07-18 21:13:00,NA,1310520s (~2.17 weeks),"3S04T"
"60",16613,"SINCDVREC","FALSA OCUPACAO NOS CDV'S 3S01T, 22 E 40. OBSERVACAO: TRAVESSAO 21 TRAVADO EM REVERSO. FALHA DECORRENTE DO FLASH DO TUE 11.",2014-07-08 10:14:00,2014-07-08 09:48:00,2014-07-08 13:19:00,NA,11100s (~3.08 hours),"3S01T"
"61",17001,"SINCDVREC","FO INTERMITENTE CDV 1S02T - 2º S. RECS 1",2014-07-16 15:04:00,2014-07-16 14:52:00,2014-12-11 14:52:00,NA,12786480s (~21.14 weeks),"1S02T"
"62",17032,"SINCDVCAJ","CODIGO ZERO NO CDV 1S01T SOBRE O TRAVESSAO 08",2014-07-17 08:21:00,2014-07-17 08:11:00,2014-07-17 21:21:00,"CAJ",46800s (~13 hours),"1S01T"
"63",17848,"SINCDVPAZ","DALSA OCUPACAO CONSTANTE NO CDV 1S09T NA PLAT VIA 1",2014-08-04 22:55:00,2014-08-04 22:48:00,2014-08-05 13:54:00,"RECS",53940s (~14.98 hours),"1S09T"
"64",17888,"SINCDVREC","FALSA OCUPACAO NOS CDV'S: 32, 34, 12, 14, 16, 40, 22, 48, 50, 52, 56, 58 E 3S01T ZONA DE TRANSFERENCIA.",2014-08-05 15:49:00,2014-08-05 15:45:00,2014-08-05 21:02:00,NA,18780s (~5.22 hours),"3S01T"
"65",18164,"SINCDVCAJ","COD 0 NO CDV 1N01T NA SAIDA DE CAJ 1 ",2014-08-11 18:47:00,2014-08-11 18:40:00,2014-08-12 13:07:00,"CAJ",66000s (~18.33 hours),"1N01T"
"66",18225,"SINCDVJOASUL","FALSA OCUPACAO CONSTANTE NO CDV 1S06T ASUL DA VIA 1 ",2014-08-13 05:23:00,2014-08-13 05:10:00,2014-12-10 10:02:00,"RECS",10298340s (~17.03 weeks),"1S06T"
"67",18267,"SINCDVJOA","FALSA OCUPACAO NO CDV 1S06T 1º A OESTE DE JOA 1 LINHA SUL, PROVOCANDO EMERGENCIA NOS TRENS.",2014-08-13 17:48:00,2014-08-13 17:33:00,2014-08-14 09:24:00,NA,56160s (~15.6 hours),"1S06T"
"68",18431,"SINCDVREC","BIPOINTE ATIVANDO FECHAMENTO DE SINALEIRO CDV 1S01 TRAVESSAO 2",2014-08-18 09:51:00,2014-08-18 08:25:00,2014-08-18 17:23:00,NA,27120s (~7.53 hours),"1S01T"
"69",18801,"SINCDVRECSUL","BIPOINT 1-S 01T ACESO' ",2014-08-25 09:17:00,2014-08-25 09:00:00,2014-08-25 16:28:00,"RECS",25860s (~7.18 hours),"1S01T"
"70",19251,"SINCDVJOASUL","COD 0 NO CDV 1S04T 1º CDV A NORTE VIA 1 ",2014-09-05 13:46:00,2014-09-05 13:40:00,2014-09-08 07:14:00,"RECS",235680s (~2.73 days),"1S04T"
"71",19287,"SINCDVJOASUL","CDV 1S04T A LESTE BI-POINTE ACINANDO INDEVIDAMENTE OBS; TRAV 10",2014-09-06 10:24:00,2014-09-06 09:16:00,2015-02-27 10:02:00,"RECS",15032280s (~24.85 weeks),"1S04T"
"72",19605,"SINCDVRECSUL","FALSA OCUPACAO NA ZONA DE TRANSFERENCIA DA LINHA SUL NO 3S01T",2014-09-12 17:52:00,2014-09-12 17:34:00,2014-09-13 11:02:00,"RECS",61800s (~17.17 hours),"3S01T"
"73",19805,"SINCDVSHO","SINALEIRO 06A NAO ABRE OBS: CIRCUITO 3N 02T COM BIPOINT ACESO COM OCUPACAO DE UM TREM",2014-09-17 15:31:00,2014-09-17 15:05:00,2014-09-17 22:34:00,"NEV",25380s (~7.05 hours),"3N02T"
"74",19922,"SINCDVREC","FALSA OCUPACAO NO CDV 3S04T NA ZONA DE TRANSFERENCIA",2014-09-19 15:33:00,2014-09-19 15:30:00,2014-09-22 10:22:00,NA,240540s (~2.78 days),"3S04T"
"75",20025,"SINCDVCAJ","CODIGO 0 CONST NO CDV 2N02T",2014-09-22 16:03:00,2014-09-22 15:55:00,2014-09-23 12:28:00,"CAJ",73500s (~20.42 hours),"2N02T"
"76",20227,"SINCDVSHO","BI-POINT 3N02T FECHANDO SINALEIRO NA VIA 1",2014-09-26 14:52:00,2014-09-26 15:10:00,2014-10-01 10:38:00,"NEV",416760s (~4.82 days),"3N02T"
"77",20318,"SINCDVNEV","FALSA OCUOPACAO NO CDV 1S01T",2014-09-29 14:28:00,2014-09-29 14:05:00,2014-10-01 10:44:00,"NEV",159360s (~1.84 days),"1S01T"
"78",20603,"SINCDVNEV","F.O NO CDV 2S01-T AO SUL DE NEV",2014-10-08 11:19:00,2014-10-08 11:13:00,2014-10-08 13:57:00,"NEV",9480s (~2.63 hours),"2S01T"
"79",21004,"SINCDVIMB","FALSA OCUPACAO NOS CDV´S 2N14T, 2N13T, 2N11T, 2N10T E 1N14T, 1N13T, 1N12T. SUSPEITA DE ROUBO DE CABOS",2014-10-19 04:07:00,2014-10-19 04:00:00,2014-10-19 05:18:00,"NEV",4260s (~1.18 hours),"2N14T-2N13T-2N11T-2N10T-1N14T-1N13T-1N12T"
"80",21033,"SINCDVGUA","BIPOINTE 2N08T SINALIZANDO INDEVIDAMENTE",2014-10-20 06:39:00,2014-10-20 06:35:00,2014-10-20 13:55:00,"CAJ",26160s (~7.27 hours),"2N08T"
"81",21531,"SINCDVGUA","BI POINT ""B"" DO 2N08T SINALIZANDO INDEVIDAMENTE",2014-11-01 09:37:00,2014-11-01 09:26:00,2014-11-01 13:26:00,"CAJ",13740s (~3.82 hours),"2N08T"
"82",21761,"SINCDVNEV","FALSA OCUPACAO NO CDV 1S01T NA VIA 1 ",2014-11-07 10:27:00,2014-11-07 10:08:00,2014-11-07 13:42:00,"NEV",11700s (~3.25 hours),"1S01T"
"83",22614,"SINCDVGUA","BIPOINTE 2N08TB ATIVANDO INDEVIDAMENTE E INTERMITENTIMENTE",2014-11-25 11:36:00,2014-11-25 11:36:00,2014-11-25 15:48:00,"CAJ",15120s (~4.2 hours),"2N08T"
"84",23471,"SINCDVLAR","BI POINT 2N08TB SINALIZANDO INDEVIDAMENTE",2014-12-15 06:43:00,2014-12-15 06:40:00,2014-12-15 11:14:00,"CAJ",16260s (~4.52 hours),"2N08T"
"85",23648,"SINCDVNEV","CODIGO ( 0 ) CDV 1S01T O 1º A SUL DE NEVES 1 (INTERMITENTE)",2014-12-18 17:27:00,2014-12-18 17:29:00,2014-12-19 15:51:00,"NEV",80640s (~22.4 hours),"1S01T"
"86",23755,"SINCDVLAR","FALSA OCUPACAO CONSTANTE CDV 2N11T VIA 2",2014-12-22 07:32:00,2014-12-22 07:06:00,2014-12-22 10:00:00,"CAJ",8880s (~2.47 hours),"2N11T"
"87",24047,"SINCDVRECSUL","F.O NO CDV 1S-01T",2014-12-29 08:14:00,2014-12-29 06:40:00,2014-12-29 10:16:00,"RECS",7320s (~2.03 hours),"1S01T"
"88",25597,"SINCDVREC","FALSA OCUPACAO INTERMITENTE NO CDV 1N01T COM APROXIMACAO DO TUE EM REC SUL",2015-02-05 09:24:00,2015-02-05 07:51:00,2015-02-05 14:32:00,NA,18480s (~5.13 hours),"1N01T"
"89",25637,"SINCDVRECSUL","CODIGO ZERO NA SAIDA DE RECSUL VIA 1 NO CDV 1S01T",2015-02-06 11:09:00,2015-02-06 10:40:00,2015-02-10 15:09:00,"RECS",360000s (~4.17 days),"1S01T"
"90",25638,"SINCDVCAJ","CODIGO ZERO NA SAIDA DE CAJ1 NO CDV 1S01T",2015-02-06 11:11:00,2015-02-06 10:40:00,2015-02-10 15:13:00,"CAJ",360120s (~4.17 days),"1S01T"
"91",25647,"SINCDVGUA","FALSA OCUPACAO CONSTANTE NO CDV 1N08T",2015-02-06 12:51:00,2015-02-06 11:34:00,2015-02-10 15:19:00,"CAJ",354480s (~4.1 days),"1N08T"
"92",25649,"SINCDVCAJ","BI-POINT DO CDV 2N03T VIA 2 ATUANDO INDEVIDAMENTE FECHANDO O SIN 10C",2015-02-06 12:54:00,2015-02-06 11:40:00,2015-02-10 14:03:00,"CAJ",349740s (~4.05 days),"2N03T"
"93",25984,"SINCDVRECSUL","F.O INTERMITENTE NO CDV 3S01T ( SOBRE A MAQUINA DE CH 21-B )",2015-02-13 08:37:00,2015-02-13 06:56:00,2015-02-27 09:48:00,"RECS",1213860s (~2.01 weeks),"3S01T"
"94",26058,"SINCDVREC","F.O NOS CDV`S 21,22,4C,E 1S01T ( FLASH NO TUE 194 )",2015-02-15 04:14:00,2015-02-14 23:40:00,2015-02-15 09:14:00,NA,18000s (~5 hours),"1S01T"
"95",26391,"SINCDVJOASUL","BIPOENTE NOS VDV´S 3S03T ATUANDO INDEVIDAMENTE",2015-02-24 07:33:00,2015-02-24 07:23:00,2015-02-24 14:40:00,"RECS",25620s (~7.12 hours),"3S03T"
"96",26564,"SINCDVIMB","FALSA OCUPACAO INTERMITENTE NOS CDV´S 1N11T E 2N11T",2015-02-27 11:12:00,2015-02-27 11:12:00,2015-03-09 10:02:00,"NEV",859800s (~1.42 weeks),"1N11T-2N11T"
"97",26860,"SINCDVRECSUL","F.O CDV`S 3S01-T",2015-03-06 04:00:00,2015-03-06 03:50:00,2015-03-06 21:21:00,"RECS",62460s (~17.35 hours),"3S01T"
"98",26861,"SINCDVJOASUL","F.O CDV`S 2S03T,2S04T,2S05T,1S05T,2S06T,2S07T,2S08T,1S05T,1S06T,1S07T E 1S08T' ",2015-03-06 04:03:00,2015-03-06 03:00:00,2015-03-06 21:35:00,"RECS",63120s (~17.53 hours),"2S03T-2S04T-2S05T-1S05T-2S06T-2S07T-2S08T-1S05T-1S06T-1S07T-1S08T"
"99",26862,"SINCDVPAZ","F.O CDV`S 2S09T E 2S08T",2015-03-06 04:06:00,2015-03-06 03:00:00,2015-03-06 21:16:00,"RECS",61800s (~17.17 hours),"2S09T-2S08T"
"100",26863,"SINCDVFAL","F.O CDV 2N06T",2015-03-06 04:08:00,2015-03-06 03:00:00,2015-03-06 21:11:00,"NEV",61380s (~17.05 hours),"2N06T"
"101",26864,"SINCDVSHO","F.O CDV`S 2N05T,2N04T,SN03T,SN02T,3N03T E 3N02T",2015-03-06 04:09:00,2015-03-06 03:00:00,2015-03-06 21:06:00,"NEV",61020s (~16.95 hours),"2N05T-2N04T-3N03T-3N02T"
"102",27018,"SINCDVREC","F.O NOS CDV`S 22,40,14 ,16 E 3S01T",2015-03-09 07:39:00,2015-03-09 07:00:00,2015-03-09 13:29:00,NA,21000s (~5.83 hours),"3S01T"
"103",27249,"SINCDVSHO","FALSA OCUPACAO NOS CDV'S: 2N06, 2N05, 2N04,2N03, 2N02, 3N03, 3N02, 3N01, 1N06, 1N05, 1N04, 1N03,",2015-03-13 03:26:00,2015-03-13 03:22:00,2015-03-13 05:55:00,"NEV",8940s (~2.48 hours),"1N03T"
"104",27277,"SINCDVCAJ","FALSA OCUPACAO INTERMITENTE NO CDV 1S04T FECHANDO O SINALEIRO 11A PROVOCANDO GVS",2015-03-13 11:47:00,2015-03-13 11:10:00,2015-03-13 17:55:00,"CAJ",22080s (~6.13 hours),"1S04T"
"105",27397,"SINCMTMUXRECS","CMT INOPERANTE ZT: 3S02T E 3S03T",2015-03-16 13:23:00,2015-03-16 13:23:00,2015-03-16 15:45:00,"RECS",8520s (~2.37 hours),"3S02T-3S03T"
"106",27521,"SINCDVRECSUL","FALSA OCUPACAO INTERMITENTE NO CDV 1S01T OBS: GVS NO BIPOINT 1S01TTJ ",2015-03-18 12:17:00,2015-03-18 12:15:00,2015-03-19 07:04:00,"RECS",67620s (~18.78 hours),"1S01T"
"107",27549,"SINCDVNEV","FALHA DE GVS,PROVOCANDO FALSAS OCUPACOES: 2N02T,2N03T, 2N04T,2N05T,2N06T, 3N02T, 3N03T.",2015-03-19 03:54:00,2015-03-19 03:54:00,2015-03-19 05:13:00,"NEV",4740s (~1.32 hours),"2N02T-2N03T-2N04T-2N05T-2N06T-3N02T-3N03T"
"108",27848,"SINCDVREC","CODIGO ZERRO NO CDV 1S02T",2015-03-24 12:45:00,2015-03-24 12:47:00,2015-03-25 15:56:00,NA,97860s (~1.13 days),"1S02T"
"109",27858,"SINCDVNEV","FALSA OCUPACAO CONSTANTE NO CDV 1S01T. FECHANDO SINALEIRO 07A.",2015-03-24 17:52:00,2015-03-24 16:54:00,2015-03-24 21:57:00,"NEV",14700s (~4.08 hours),"1S01T"
"110",28109,"SINCDVCAJ","CDV 1S05T COM FALSA OCUPACAO CONSTANTE NO PROLONGAMENTO DA VIA 01 DE CAJ",2015-03-30 07:11:00,2015-03-30 07:11:00,2015-03-31 07:59:00,"CAJ",89280s (~1.03 days),"1S05T"
"111",28800,"SINCDVPAZ","FALSA OCUPACAO NO CDV 2N14T A SUL DE PAZ 01",2015-04-14 06:44:00,2015-04-14 06:12:00,2015-04-14 15:25:00,"RECS",31260s (~8.68 hours),"2N14T"
"112",29657,"SINCDVSHO","CODIGO ( 0 ) NO CDV 1N04TJ",2015-05-05 11:03:00,2015-05-05 10:16:00,2015-05-05 13:53:00,"NEV",10200s (~2.83 hours),"1N04T"
"113",29800,"SINCDVSHO","FALSA OCUPACOES NOS CDV´S 2N6T, 2N5T, 2N04T, 2N3T, 2N2T, 3N2T, 3N3T. APOS MANOBRA NA 13.8",2015-05-08 01:51:00,2015-05-08 02:50:00,2015-05-08 06:20:00,"NEV",16140s (~4.48 hours),"2N04T"
"114",29837,"SINCDVREC","FALSA OCUPACAO CONSTANTE NO CDV 3S04T.",2015-05-08 17:43:00,2015-05-08 17:08:00,2015-05-09 18:37:00,NA,89640s (~1.04 days),"3S04T"
"115",30593,"SINCDVPTO","FALSA OCUPACAO NO CDV 1N13-T",2015-05-25 02:30:00,2015-05-25 02:30:00,2015-05-25 13:15:00,"NEV",38700s (~10.75 hours),"1N13T"
"116",30903,"SINCDVREC","NA AUSENCIA DE ENERGIA DA CELPE, CAUSA FALSA OCUPACAO NO CDV 3S01T DA ZONA DE MANOBRA (PROXIMO AO TRAVESSAO 21). ",2015-05-31 04:58:00,2015-05-31 04:08:00,2015-05-31 14:07:00,NA,32940s (~9.15 hours),"3S01T"
"117",31009,"SINCDVIMB","CODIGO PISCANTE NOS CDV'S 2N11T 2N10T",2015-06-02 06:49:00,2015-06-02 06:00:00,2015-06-02 12:06:00,"NEV",19020s (~5.28 hours),"2N11T"
"118",31010,"SINCDVIMB","CODIGO PISCANTE NO CDV 1N11T",2015-06-02 06:51:00,2015-06-02 06:00:00,2015-06-02 12:10:00,"NEV",19140s (~5.32 hours),"1N11T"
"119",31033,"SINCDVIMB","FALSAS OCUPACOES CONSTANTES NOS CDV´S 1N11T, 1N10T NA VIA 1 E 2N11T, 2N10T E 2N12T NA VIA 2.",2015-06-02 12:41:00,2015-06-02 12:41:00,2015-06-08 21:34:00,"NEV",550380s (~6.37 days),"1N11T-1N10T-2N11T-2N10T-2N12T"
"120",31101,"SINCDVPRE","FALSA OCUPACAO CONSTANTE NO CDV 3S04T (NA ZONA DE TRANSF. PEGANDO O AMV 08)",2015-06-03 23:42:00,2015-06-03 23:46:00,2015-06-09 21:03:00,NA,508860s (~5.89 days),"3S04T"
"121",31114,"SINCDVIMB","FALSA OCUPACAO NOS CDV'S 1N10T, 1N11T, 2N10T,2N11T",2015-06-04 12:07:00,2015-06-04 11:55:00,2015-06-08 21:36:00,"NEV",379740s (~4.4 days),"1N10T-1N11T-2N10T-2N11T"
"122",31214,"SINCDVIMB","FALSA OCUPACAO PISCANDO NOS CDV'S: 2N11T E 2N10T",2015-06-06 16:36:00,2015-06-06 16:16:00,2015-06-07 11:38:00,"NEV",68520s (~19.03 hours),"2N11T-2N10T"
"123",31215,"SINCDVIMB","FALSA OCUPACAO PISCANDO NOS CDV'S: 1N11T E 1N10T",2015-06-06 16:38:00,2015-06-06 16:16:00,2015-06-07 11:43:00,"NEV",68700s (~19.08 hours),"1N11T-1N10T"
"124",31511,"SINCDVCAJ","FALSA OCUPACAO INTERMITENTE NO CDV 1S05T",2015-06-12 12:03:00,2015-06-12 11:50:00,2015-06-12 19:43:00,"CAJ",27600s (~7.67 hours),"1S05T"
"125",31903,"SINCDVIMB","FALSA OCUPACAO NOS CDV´S 1N11T VIA 1 2N11T VIA 2 COM FECHAMENTO DO SINALEIRO 04A VIA 1 04C VIA 2,SO ACONTECE COM CICLO ATIVADO",2015-06-20 08:46:00,2015-06-20 06:27:00,2015-06-22 14:43:00,"NEV",194220s (~2.25 days),"1N11T-2N11T"
"126",31986,"SINCDVCAJ","FALSA OCUPACAO CONSTANTE NO CDV 1S05T.",2015-06-22 07:35:00,2015-06-22 07:35:00,2016-05-06 13:44:00,"CAJ",27583740s (~45.61 weeks),"1S05T"
"127",32014,"SINCDVFAL","FALSA OCUPACAO CONSTANTE NO CDV; 2N08T 2º A NORTE DE FAL VIA 2.",2015-06-22 13:21:00,2015-06-22 12:30:00,2015-06-22 20:57:00,"NEV",27360s (~7.6 hours),"2N08T"
"128",32063,"SINCDVFAL","FALSA OCUPACAO CONSTANTE NO CDV 2S08T",2015-06-23 08:23:00,2015-06-23 06:07:00,2015-07-31 10:28:00,"NEV",3290700s (~5.44 weeks),"2S08T"
"129",32110,"SINCDVFAL","FALSA OCUPACAO INTERMITENTE NO CDV 2N08T, 2º CDV A NORTE DE FAL 2.",2015-06-23 23:04:00,2015-06-23 22:49:00,2015-06-24 12:32:00,"NEV",48480s (~13.47 hours),"2N08T"
"130",32131,"SINCDVLAR","FALSA OCUPACAO CONSTANTE NO CDV 1N11T. 1º CDV A NORTE DE PORTA LARGA 1.",2015-06-25 01:12:00,2015-06-25 01:06:00,2015-06-25 05:34:00,"CAJ",15720s (~4.37 hours),"1N11T"
"131",32281,"SINCDVFAL","CDV 2N08T 2º A NORTE DE FAL COM FALSA OCUPACAO CONSTANTE. OBS: FALHA ABERTA AS 05:13 E SO FOI LANCADA AS 07:41 NO PROTHEUS POIS O MESMO ESTAVA FORA .",2015-06-27 07:41:00,2015-06-27 07:41:00,2015-06-27 13:13:00,"NEV",19920s (~5.53 hours),"2N08T"
"132",32361,"SINCDVFAL","FALSA OCUPACAO CONSTANTE NO CDV 2N08T ",2015-06-29 07:07:00,2015-06-29 07:02:00,2015-06-29 09:03:00,"NEV",6960s (~1.93 hours),"2N08T"
"133",32607,"SINCDVIMB","FALSA OCUPACAO CONSTANTE CDV 2N13T - FECHANDO SINALEIRO 3C",2015-07-02 08:42:00,2015-07-02 08:33:00,2015-07-03 08:44:00,"NEV",86520s (~1 days),"2N13T"
"134",32675,"SINCDVIMB","FALSA OCUPACAO NOS CDV'S 1N11T E 2N11T INTERMITENCIA CONSTANTE COM CICLO TAN ATIVADO",2015-07-03 12:57:00,2015-07-03 12:38:00,2015-07-06 07:16:00,"NEV",238740s (~2.76 days),"1N11T-2N11T"
"135",32679,"SINCDVRECSUL","BIPOINT 3S01TCK ACENDE E TRAVA A MAQUINA DE CHAVE 06 EM REVERSO EO TRAVESSAO 04 EM REVERSO",2015-07-03 14:54:00,2015-07-03 14:38:00,2015-07-03 19:15:00,"RECS",15660s (~4.35 hours),"3S01T"
"136",32723,"SINCDVNEV","FALSA OCUPACAO CONSTANTE NOS CDV´S 2N01T, 2N02T, 2N03T, 2N04T, 2N05T E 2N06T LINHA 02",2015-07-04 09:46:00,2015-07-04 09:15:00,2015-07-06 07:41:00,"NEV",165300s (~1.91 days),"2N01T-2N02T-2N03T-2N04T-2N05T-2N06T"
"137",33036,"SINCDVLAR","FALSA OCUPACAO CONSTANTE NO CDV 1N11T A NORTE DA VIA 1",2015-07-10 05:25:00,2015-07-10 05:20:00,2016-08-03 08:53:00,"CAJ",33708480s (~1.07 years),"1N11T"
"138",33317,"SINCDVJOASUL","FALSA OCUPACAO INTERMITENTE NO CDV 2S07T",2015-07-16 15:43:00,2015-07-16 15:43:00,2015-07-30 14:30:00,"RECS",1205220s (~1.99 weeks),"2S07T"
"139",33390,"SINCDVJOASUL","FALSA OCUPACAO NO CDV 1S04T. OBS: TRAVESAO EM REVERSO SEM COMANDO PARA NORMAL",2015-07-18 00:23:00,2015-07-18 00:22:00,2015-07-20 20:32:00,"RECS",245340s (~2.84 days),"1S04T"
"140",33391,"SINCDVJOASUL","FALSA OCUPACAO CONSTANTE NO CDV 2S04T. OBS: TRAVESAO EM REVERSO SEM COMANDO PARA NORMAL",2015-07-18 02:24:00,2015-07-18 00:22:00,2015-07-18 02:49:00,"RECS",1500s (~25 minutes),"2S04T"
"141",33451,"SINCDVRECSUL","FALSA OCUPACAO NO CDV 2S07T ",2015-07-20 08:46:00,2015-07-20 07:57:00,2015-07-20 10:35:00,"RECS",6540s (~1.82 hours),"2S07T"
"142",33565,"SINCDVRECSUL","CDV 1S04T COM FALSA OCUPACAO INTERMITENTE",2015-07-22 07:57:00,2015-07-22 07:40:00,2016-08-03 08:54:00,"RECS",32662620s (~1.04 years),"1S04T"
"143",33732,"SINCDVPAZ","FALSA OCUPACAO INTERMITENTE NO CDV 2S07",2015-07-25 11:45:00,2015-07-25 11:48:00,2015-07-27 14:04:00,"RECS",181140s (~2.1 days),"2S07T"
"144",34079,"SINCDVNEV","CDV 2S01T FALSA OCUPACAO FECHANDO SINALEIRO 7C ( 1º A SUL DE NEV NA VIA 02)",2015-07-31 10:41:00,2015-07-31 10:55:00,2016-08-03 08:56:00,"NEV",31875300s (~1.01 years),"2S01T"
"145",34356,"SINCDVPAZ","FALSA OCUPACAO INTERMITENTE NO CDV 2S07T",2015-08-06 13:41:00,2015-08-06 13:40:00,2015-08-06 17:12:00,"RECS",12660s (~3.52 hours),"2S07T"
"146",35346,"SINCDVCAJ","CODIGO 0 NO CDV 2S01 T",2015-08-26 18:42:00,2015-08-26 18:05:00,2015-08-27 11:09:00,"CAJ",59220s (~16.45 hours),"2S01T"
"147",35741,"SINCDVRECSUL","CODIGO ZERO NO CDV 1S03T",2015-09-03 19:51:00,2015-09-03 19:48:00,2015-09-04 09:11:00,"RECS",48000s (~13.33 hours),"1S03T"
"148",35909,"SINCDVNEV","FALSA OCUPACAO INTERMITENTE NO CDV 1S01T.",2015-09-08 19:27:00,2015-09-08 19:22:00,2015-09-09 14:14:00,"NEV",67620s (~18.78 hours),"1S01T"
"149",36047,"SINCDVNEV","CDV 1S01T COM FALSA OCUPACAO INTERMITENTE.",2015-09-11 18:02:00,2015-09-11 17:40:00,2016-08-03 09:00:00,"NEV",28220280s (~46.66 weeks),"1S01T"
"150",36195,"SINCDVCAJ","CODIGO O NO CDV 2S01T, O 1º A SUL DE CAJ 02",2015-09-15 11:40:00,2015-09-15 11:25:00,2015-09-17 10:08:00,"CAJ",167280s (~1.94 days),"2S01T"
"151",36230,"SINCDVLAR","FALSA OCUPACAO NO CDV 1N11T. IMPEDINDO A ABERTURA DOS SINALEIROS 8A E 8C.",2015-09-16 12:52:00,2015-09-16 12:42:00,2015-09-16 18:46:00,"CAJ",21240s (~5.9 hours),"1N11T"
"152",36279,"SINCDVREC","FALSA OCUPACAO NO CDV 3S01T CONSTANTE",2015-09-17 09:59:00,2015-09-17 09:36:00,2015-09-17 14:08:00,NA,14940s (~4.15 hours),"3S01T"
"153",36375,"SINCDVNEV","FALSA OCUPACAO NO CDV 2S01T ( FECHA O SINALEIRO 97-C )",2015-09-19 05:23:00,2015-09-19 03:18:00,2015-09-21 12:43:00,"NEV",199200s (~2.31 days),"2S01T"
"154",37380,"SINCDVCAJ","FALSA OCUPACAO CONSTANTE CDV 1S06",2015-10-12 17:51:00,2015-10-12 17:46:00,2015-10-13 17:21:00,"CAJ",84600s (~23.5 hours),"1S06T"
"155",38002,"SINCDVCAJ","FALSA OCUPACAO NO CDV 1S06T",2015-10-26 13:19:00,2015-10-26 13:16:00,2015-10-26 17:27:00,"CAJ",14880s (~4.13 hours),"1S06T"
"156",38016,"SINCDVCAJ","CODIGO ""0"" NO CDV 2N01T.",2015-10-26 20:00:00,2015-10-26 19:28:00,2015-10-29 06:52:00,"CAJ",211920s (~2.45 days),"2N01T"
"157",38116,"SINCDVREC","BIPOINT TTJ-2 TRAVESSAO 2 DE RECIFE . CIRCUITO 1S01T",2015-10-28 12:28:00,2015-10-28 12:25:00,2015-10-29 07:10:00,NA,67320s (~18.7 hours),"1S01T"
"158",38347,"SINCDVIMB","CODIGO 0 NO CDV 1N14T",2015-11-03 13:36:00,2015-11-03 13:36:00,2015-11-04 11:34:00,"NEV",79080s (~21.97 hours),"1N14T"
"159",39172,"SINCDVRECSUL","FALSA OCUPACAO NO CDV 3S01T",2015-11-19 09:21:00,2015-11-19 07:20:00,2015-11-19 15:52:00,"RECS",23460s (~6.52 hours),"3S01T"
"160",39471,"SINCDVLAR","FALSA OCUPACAO NOS CDV'S 2N9T, 2N10T, 2N11T, 2N12T E 2N13T DA VIA 2.",2015-11-25 02:00:00,2015-11-25 01:38:00,2015-11-25 03:51:00,"CAJ",6660s (~1.85 hours),"2N10T-2N11T-2N12T-2N13T"
"161",39526,"SINCDVCAJ","FALSA OCUPACAO CONSTANTE NO CDV 1S03T.",2015-11-25 18:04:00,2015-11-25 17:34:00,2016-04-28 10:07:00,"CAJ",13363380s (~22.1 weeks),"1S03T"
"162",39544,"SINCDVLAR","FALSA OCUPACAO NOS CDV'S VIA 1, 1N13T ATE 1N03T - VIA 2, 2N13T ATE 2N03T.",2015-11-26 03:41:00,2015-11-26 03:35:00,2015-11-26 05:05:00,"CAJ",5040s (~1.4 hours),"1N13T-1N03T-2N13T-2N03T"
"163",39649,"SINCDVCAJ","FALSA OCUPACAO CONSTANTE NO CDV 1S03T.",2015-11-27 19:34:00,2015-11-27 19:00:00,2015-11-30 19:18:00,"CAJ",258240s (~2.99 days),"1S03T"
"164",39792,"SINCDVCAJ","FALSA OCUPACAO CONSTANTE NO CDV 1S03T.",2015-12-01 18:34:00,2015-12-01 18:12:00,2015-12-11 11:17:00,"CAJ",837780s (~1.39 weeks),"1S03T"
"165",40359,"SINCDVJOA","FALSA OCUPACAO INTERMITENTE CDV 1S04",2015-12-14 15:46:00,2015-12-14 15:41:00,2015-12-15 17:10:00,NA,91440s (~1.06 days),"1S04T"
"166",40456,"SINCDVRECSUL","FALSA OCUPACAO CONSTANTE NO CDV 1S02T",2015-12-16 11:14:00,2015-12-16 11:08:00,2015-12-16 13:43:00,"RECS",8940s (~2.48 hours),"1S02T"
